"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","Apex Devastator","cmr","Near Mint","English","","","2023-08-24 06:44:18.687000","674","False","False",""
"1","1","Aphetto Runecaster","scg","Near Mint","English","","","2023-07-03 12:30:11.930000","28","False","False",""
"1","1","Apocalypse","tmp","Near Mint","English","","","2023-01-30 09:27:57.263000","162","False","False",""
"1","1","Apocalypse Chime","hml","Near Mint","English","","","2023-04-06 19:21:18.380000","101","False","False",""
"4","4","Apprentice Wizard","4ed","Near Mint","English","","","2023-03-04 19:33:45.867000","61","False","False",""
"1","1","Approach of the Second Sun","akh","Near Mint","English","","","2023-05-24 12:49:10.863000","4","False","True",""
"1","1","Arachnogenesis","c15","Near Mint","English","","","2023-04-12 12:19:05.030000","32","False","True",""
"1","1","Arachnogenesis","cmm","Near Mint","English","","","2023-08-24 06:45:54.683000","647","False","False",""
"1","1","Aragorn, King of Gondor","ltc","Near Mint","English","foil","","2023-06-11 19:48:55.913000","5","False","False",""
"1","1","Arbor Elf","ltc","Near Mint","English","","","2023-06-11 19:48:02.520000","232","False","False",""
"1","1","Arbor Elf","m13","Near Mint","German","","","2023-04-29 13:43:35.393000","160","False","False",""
"1","1","Arborea Pegasus","afr","Near Mint","English","","","2023-08-17 17:28:51.933000","299","False","False",""
"1","1","Arcades Sabboth","chr","Near Mint","English","","","2023-01-21 07:58:59.383000","71","False","False",""
"8","8","Arcane Denial","all","Near Mint","English","","","2023-04-12 19:52:06.607000","22a","False","False",""
"7","7","Arcane Denial","all","Near Mint","English","","","2023-04-12 19:52:38.573000","22b","False","False",""
"1","1","Arcane Sanctum","moc","Near Mint","English","","","2023-04-10 07:45:23.203000","390","False","False",""
"1","1","Arcane Sanctum","c18","Near Mint","English","","","2023-03-18 09:36:05.487000","232","False","False",""
"7","7","Arcane Signet","sld","Near Mint","English","","","2023-10-21 16:50:43.147000","589","False","True",""
"1","1","Arcane Signet","c20","Near Mint","English","","","2023-03-11 14:33:43.380000","237","False","False",""
"1","1","Arcane Signet","moc","Near Mint","English","","","2023-04-10 07:45:23.203000","348","False","False",""
"2","2","Arcane Signet","ltc","Near Mint","English","","","2023-06-11 19:48:02.520000","273","False","False",""
"1","1","Arcane Signet","brc","Near Mint","English","","","2023-01-28 15:08:38.020000","132","False","False",""
"1","1","Archaeomancer's Map","c21","Near Mint","English","","","2023-08-24 06:54:03.707000","339","False","False",""
"1","1","Archangel of Thune","m14","Near Mint","English","","","2023-10-11 09:36:01.547000","5","False","False",""
"1","1","Archivist of Gondor","ltc","Near Mint","English","","","2023-06-11 19:48:55.913000","18","False","False",""
"1","1","Archon of Cruelty","mh2","Near Mint","English","","","2023-10-11 09:23:56.103000","75","False","False",""
"1","1","Arctic Foxes","ice","Near Mint","English","","","2023-03-04 20:26:04.783000","2","False","False",""
"4","4","Arctic Treeline","khm","Near Mint","English","foil","","2023-02-04 11:07:35.763000","249","False","False",""
"1","1","Arcum Dagsson","2xm","Near Mint","English","","","2023-06-17 18:15:59.513000","41","False","True",""
"1","1","Arcum Dagsson","csp","Near Mint","English","","","2023-06-17 17:00:31.963000","27","False","False",""
"1","1","Arcum's Weathervane","ice","Near Mint","English","","","2023-04-10 08:04:59.893000","310","False","False",""
"1","1","Ardent Elementalist","mid","Mint","English","","","2023-01-23 08:11:21.793000","128","False","False",""
"1","1","Ardent Militia","wth","Near Mint","English","","","2023-04-13 07:24:27.503000","5","False","False",""
"4","4","Argothian Enchantress","g03","Near Mint","English","foil","","2023-10-21 18:17:40.447000","2","False","True",""
"1","1","Argothian Enchantress","usg","Near Mint","English","","","2023-06-17 16:56:37.390000","234","False","False",""
"4","4","Argothian Pixies","chr","Near Mint","English","","","2023-04-13 08:45:11.473000","57","False","False",""
"1","1","Arid Mesa","mm3","Near Mint","English","","","2023-06-21 08:06:06.213000","229","False","False",""
"5","5","Arid Mesa","slu","Near Mint","English","","","2023-10-21 18:29:25.583000","4","False","True",""
"1","1","Arixmethes, Slumbering Isle","2xm","Near Mint","English","","","2023-05-24 12:27:28.620000","189","False","True",""
"1","1","Arixmethes, Slumbering Isle","mul","Near Mint","English","","","2023-07-26 19:03:29.420000","32","False","False",""
"1","1","Arlinn, Voice of the Pack","war","Mint","English","","","2023-01-23 08:07:35.257000","150","False","False",""
"1","1","Arlinn, Voice of the Pack","j22","Mint","English","","","2023-01-21 13:13:55.757000","85","False","False",""
"1","1","Armageddon","4ed","Near Mint","English","","","2023-01-26 07:52:49.677000","5","False","False",""
"1","1","Armor of Faith","5ed","Near Mint","English","","","2023-03-04 20:17:48.607000","8","False","False",""
"1","1","Armor of Faith","ice","Near Mint","English","","","2023-04-13 07:23:44.723000","4","False","False",""
"6","6","Armor of Thorns","mir","Near Mint","English","","","2023-04-11 12:30:29.943000","206","False","False",""
"1","1","Armor Sliver","tmp","Near Mint","English","","","2023-04-06 19:22:57.287000","4","False","False",""
"7","7","Armor Thrull","fem","Near Mint","English","","","2023-04-12 20:30:13.353000","33a","False","False",""
"5","5","Armor Thrull","fem","Near Mint","English","","","2023-04-12 20:29:54.103000","33b","False","False",""
"2","2","Armored Scrapgorger","one","Near Mint","English","","","2023-02-09 09:34:17.747000","158","False","False",""
"5","5","Armorer Guildmage","mir","Near Mint","English","","","2023-03-04 19:08:04.997000","156","False","False",""
"2","2","Army Ants","vis","Near Mint","English","","","2023-03-03 19:26:45.910000","126","False","False",""
"4","4","Arnjlot's Ascent","ice","Near Mint","English","","","2023-04-13 07:56:27.343000","57","False","False",""
"1","1","Arrows of Justice","gtc","Near Mint","German","","","2023-07-03 07:28:57.980000","211","False","False",""
"2","2","Artificer Class","clb","Near Mint","English","","","2023-10-21 17:29:29.190000","663","False","True",""
"1","1","Arvad the Cursed","moc","Near Mint","English","","","2023-04-10 07:45:23.203000","317","False","False",""
"1","1","Arwen, Weaver of Hope","ltc","Near Mint","English","","","2023-06-11 19:48:02.520000","35","False","False",""
"1","1","Aryel, Knight of Windgrace","moc","Near Mint","English","","","2023-04-10 07:45:23.203000","318","False","False",""
"1","1","Asceticism","ltc","Near Mint","English","","","2023-06-11 19:48:02.520000","233","False","False",""
"3","3","Asceticism","mb1","Near Mint","English","","","2023-10-21 18:07:43.933000","1125","False","True",""
"1","1","Ash Barrens","brc","Near Mint","English","","","2023-01-28 15:08:38.020000","174","False","False",""
"1","1","Ash Barrens","c19","Near Mint","English","","","2023-05-24 12:24:47.370000","227","False","False",""
"1","1","Ash Barrens","ltc","Near Mint","English","","","2023-06-11 19:48:02.520000","295","False","False",""
"1","1","Ashaya, Soul of the Wild","pznr","Near Mint","English","","","2023-06-17 18:17:31.030000","179p","False","True",""
"1","1","Ashaya, Soul of the Wild","znr","Near Mint","English","","","2023-06-17 16:45:38.910000","179","False","False",""
"1","1","Ashen Ghoul","ice","Near Mint","English","","","2023-04-12 20:34:44.077000","114","False","False",""
"3","3","Ashes to Ashes","4ed","Near Mint","English","","","2023-04-13 09:14:17.413000","119","False","False",""
"1","1","Ashnod the Uncaring","brc","Near Mint","English","foil","","2023-01-28 15:08:38.020000","4","False","False",""
